subject	session	run	selected_source	discarded_sources	reason	confidence
sub-039	ses-01	01	March-18-2024_ 5-18-36_PM__scan_info_for_subject_subc40__selected_run_is_1__fmri_number_is1.mat;fMRI_1.mat;runs_random.mat	March-18-2024_ 5-12-10_PM__Subject_is_subc40__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-039	ses-01	02	March-18-2024_ 5-23-33_PM__scan_info_for_subject_subc40__selected_run_is_4__fmri_number_is2.mat;fMRI_2.mat;runs_random.mat	March-18-2024_ 5-19-13_PM__Subject_is_subc40__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-039	ses-01	03	March-18-2024_ 5-28-51_PM__scan_info_for_subject_subc40__selected_run_is_2__fmri_number_is3.mat;fMRI_3.mat;runs_random.mat	March-18-2024_ 5-24-10_PM__Subject_is_subc40__sequence_of_stimuli_for_fMRI_number_3_is_3   1   7   8   9   4  12  11   6   2  10   5.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-039	ses-01	04	March-18-2024_ 5-33-55_PM__scan_info_for_subject_subc40__selected_run_is_5__fmri_number_is4.mat;fMRI_4.mat;runs_random.mat	March-18-2024_ 5-29-13_PM__Subject_is_subc40__sequence_of_stimuli_for_fMRI_number_4_is_12   3  10   6  11   7   1   2   5   8   9   4.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-039	ses-01	05	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-039	ses-01	06	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-039	ses-01	03	March-18-2024_ 5-28-51_PM__scan_info_for_subject_subc40__selected_run_is_2__fmri_number_is3.mat;fMRI_3.mat;runs_random.mat	March-18-2024_ 5-24-10_PM__Subject_is_subc40__sequence_of_stimuli_for_fMRI_number_3_is_3   1   7   8   9   4  12  11   6   2  10   5.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-039	ses-01	04	March-18-2024_ 5-33-55_PM__scan_info_for_subject_subc40__selected_run_is_5__fmri_number_is4.mat;fMRI_4.mat;runs_random.mat	March-18-2024_ 5-29-13_PM__Subject_is_subc40__sequence_of_stimuli_for_fMRI_number_4_is_12   3  10   6  11   7   1   2   5   8   9   4.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-039	ses-01	05	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-039	ses-01	06	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-039	ses-01	07	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-039	ses-01	08	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-039	ses-02	01	October-05-2024_ 9-40-32_AM__scan_info_for_subject_SUBC040_Session02_2024OCT05__selected_run_is_1__fmri_number_is1.mat;fMRI_1.mat;runs_random.mat	October-05-2024_ 9-35-42_AM__Subject_is_SUBC040_Session02_2024OCT05__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-039	ses-02	02	October-05-2024_ 9-44-54_AM__scan_info_for_subject_SUBC040_Session02_2024OCT05__selected_run_is_4__fmri_number_is2.mat;fMRI_2.mat;runs_random.mat	October-05-2024_ 9-40-52_AM__Subject_is_SUBC040_Session02_2024OCT05__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-039	ses-02	01	October-05-2024_ 9-40-32_AM__scan_info_for_subject_SUBC040_Session02_2024OCT05__selected_run_is_1__fmri_number_is1.mat;fMRI_1.mat;runs_random.mat	October-05-2024_ 9-35-42_AM__Subject_is_SUBC040_Session02_2024OCT05__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-039	ses-02	02	October-05-2024_ 9-44-54_AM__scan_info_for_subject_SUBC040_Session02_2024OCT05__selected_run_is_4__fmri_number_is2.mat;fMRI_2.mat;runs_random.mat	October-05-2024_ 9-40-52_AM__Subject_is_SUBC040_Session02_2024OCT05__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-039	ses-02	03	October-05-2024_ 9-51-52_AM__scan_info_for_subject_SUBC040_Session02_2024OCT05__selected_run_is_2__fmri_number_is3.mat;fMRI_3.mat;runs_random.mat	October-05-2024_ 9-47-43_AM__Subject_is_SUBC040_Session02_2024OCT05__sequence_of_stimuli_for_fMRI_number_3_is_3   1   7   8   9   4  12  11   6   2  10   5.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-039	ses-02	04	October-05-2024_ 9-56-21_AM__scan_info_for_subject_SUBC040_Session02_2024OCT05__selected_run_is_5__fmri_number_is4.mat;fMRI_4.mat;runs_random.mat	October-05-2024_ 9-52-27_AM__Subject_is_SUBC040_Session02_2024OCT05__sequence_of_stimuli_for_fMRI_number_4_is_12   3  10   6  11   7   1   2   5   8   9   4.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-039	ses-02	05	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-039	ses-02	06	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-039	ses-02	03	October-05-2024_ 9-51-52_AM__scan_info_for_subject_SUBC040_Session02_2024OCT05__selected_run_is_2__fmri_number_is3.mat;fMRI_3.mat;runs_random.mat	October-05-2024_ 9-47-43_AM__Subject_is_SUBC040_Session02_2024OCT05__sequence_of_stimuli_for_fMRI_number_3_is_3   1   7   8   9   4  12  11   6   2  10   5.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-039	ses-02	04	October-05-2024_ 9-56-21_AM__scan_info_for_subject_SUBC040_Session02_2024OCT05__selected_run_is_5__fmri_number_is4.mat;fMRI_4.mat;runs_random.mat	October-05-2024_ 9-52-27_AM__Subject_is_SUBC040_Session02_2024OCT05__sequence_of_stimuli_for_fMRI_number_4_is_12   3  10   6  11   7   1   2   5   8   9   4.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-039	ses-02	05	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-039	ses-02	06	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-039	ses-02	07	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-039	ses-02	08	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-040	ses-01	01	March-21-2024_ 4-03-38_PM__scan_info_for_subject_SUBC41__selected_run_is_1__fmri_number_is1.mat;fMRI_1.mat;runs_random.mat	March-21-2024_ 4-13-11_PM__scan_info_for_subject_subc41__selected_run_is_1__fmri_number_is1.mat;fMRI_1.mat;March-21-2024_ 4-08-50_PM__Subject_is_subc41__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;March-21-2024_ 3-57-42_PM__Subject_is_SUBC41__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;runs_random.mat	priority_scan_info_selected=March-21-2024_ 4-03-38_PM__scan_info_for_subject_SUBC41__selected_run_is_1__fmri_number_is1.mat;discarded=March-21-2024_ 4-13-11_PM__scan_info_for_subject_subc41__selected_run_is_1__fmri_number_is1.mat;vars=triggerTimes;vbl;priority_fMRI_N_selected=fMRI_1.mat;discarded=fMRI_1.mat;vars=Stim_order_selected;discarded_dated_seq_secondary_to_fMRI_N;priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl	high
sub-040	ses-01	02	March-21-2024_ 4-07-18_PM__scan_info_for_subject_subc41__selected_run_is_4__fmri_number_is2.mat;fMRI_2.mat;runs_random.mat	March-21-2024_ 4-17-56_PM__scan_info_for_subject_subc41__selected_run_is_4__fmri_number_is2.mat;fMRI_2.mat;March-21-2024_ 4-13-30_PM__Subject_is_subc41__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat;March-21-2024_ 4-04-07_PM__Subject_is_subc41__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat;runs_random.mat	priority_scan_info_selected=March-21-2024_ 4-07-18_PM__scan_info_for_subject_subc41__selected_run_is_4__fmri_number_is2.mat;discarded=March-21-2024_ 4-17-56_PM__scan_info_for_subject_subc41__selected_run_is_4__fmri_number_is2.mat;vars=triggerTimes;vbl;priority_fMRI_N_selected=fMRI_2.mat;discarded=fMRI_2.mat;vars=Stim_order_selected;discarded_dated_seq_secondary_to_fMRI_N;priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl	high
sub-040	ses-01	01	March-21-2024_ 4-03-38_PM__scan_info_for_subject_SUBC41__selected_run_is_1__fmri_number_is1.mat;fMRI_1.mat;runs_random.mat	March-21-2024_ 4-13-11_PM__scan_info_for_subject_subc41__selected_run_is_1__fmri_number_is1.mat;fMRI_1.mat;March-21-2024_ 4-08-50_PM__Subject_is_subc41__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;March-21-2024_ 3-57-42_PM__Subject_is_SUBC41__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;runs_random.mat	priority_scan_info_selected=March-21-2024_ 4-03-38_PM__scan_info_for_subject_SUBC41__selected_run_is_1__fmri_number_is1.mat;discarded=March-21-2024_ 4-13-11_PM__scan_info_for_subject_subc41__selected_run_is_1__fmri_number_is1.mat;vars=triggerTimes;vbl;priority_fMRI_N_selected=fMRI_1.mat;discarded=fMRI_1.mat;vars=Stim_order_selected;discarded_dated_seq_secondary_to_fMRI_N;priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl	high
sub-040	ses-01	02	March-21-2024_ 4-07-18_PM__scan_info_for_subject_subc41__selected_run_is_4__fmri_number_is2.mat;fMRI_2.mat;runs_random.mat	March-21-2024_ 4-17-56_PM__scan_info_for_subject_subc41__selected_run_is_4__fmri_number_is2.mat;fMRI_2.mat;March-21-2024_ 4-13-30_PM__Subject_is_subc41__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat;March-21-2024_ 4-04-07_PM__Subject_is_subc41__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat;runs_random.mat	priority_scan_info_selected=March-21-2024_ 4-07-18_PM__scan_info_for_subject_subc41__selected_run_is_4__fmri_number_is2.mat;discarded=March-21-2024_ 4-17-56_PM__scan_info_for_subject_subc41__selected_run_is_4__fmri_number_is2.mat;vars=triggerTimes;vbl;priority_fMRI_N_selected=fMRI_2.mat;discarded=fMRI_2.mat;vars=Stim_order_selected;discarded_dated_seq_secondary_to_fMRI_N;priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl	high
sub-040	ses-01	03	March-21-2024_ 4-23-50_PM__scan_info_for_subject_subc41__selected_run_is_2__fmri_number_is3.mat;fMRI_3.mat;runs_random.mat	March-21-2024_ 4-18-37_PM__Subject_is_subc41__sequence_of_stimuli_for_fMRI_number_3_is_3   1   7   8   9   4  12  11   6   2  10   5.mat;runs_random.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl	high
sub-040	ses-01	04	March-21-2024_ 4-28-13_PM__scan_info_for_subject_subc41__selected_run_is_5__fmri_number_is4.mat;fMRI_4.mat;runs_random.mat	March-21-2024_ 4-24-13_PM__Subject_is_subc41__sequence_of_stimuli_for_fMRI_number_4_is_12   3  10   6  11   7   1   2   5   8   9   4.mat;runs_random.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl	high
sub-040	ses-01	05	March-21-2024_ 4-28-48_PM__scan_info_for_subject_subc41__selected_run_is_3__fmri_number_is5.mat;fMRI_5.mat;runs_random.mat	March-21-2024_ 4-28-41_PM__Subject_is_subc41__sequence_of_stimuli_for_fMRI_number_5_is_2   8   5   3   7  10   4   9   1   6  11  12.mat;runs_random.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl	high
sub-040	ses-01	06	runs_random.mat	runs_random.mat	priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl;insufficient_for_events	low
sub-040	ses-01	07	runs_random.mat	runs_random.mat	priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl;insufficient_for_events	low
sub-040	ses-01	08	runs_random.mat	runs_random.mat	priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl;insufficient_for_events	low
sub-040	ses-01	03	March-21-2024_ 4-23-50_PM__scan_info_for_subject_subc41__selected_run_is_2__fmri_number_is3.mat;fMRI_3.mat;runs_random.mat	March-21-2024_ 4-18-37_PM__Subject_is_subc41__sequence_of_stimuli_for_fMRI_number_3_is_3   1   7   8   9   4  12  11   6   2  10   5.mat;runs_random.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl	high
sub-040	ses-01	04	March-21-2024_ 4-28-13_PM__scan_info_for_subject_subc41__selected_run_is_5__fmri_number_is4.mat;fMRI_4.mat;runs_random.mat	March-21-2024_ 4-24-13_PM__Subject_is_subc41__sequence_of_stimuli_for_fMRI_number_4_is_12   3  10   6  11   7   1   2   5   8   9   4.mat;runs_random.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl	high
sub-040	ses-01	05	March-21-2024_ 4-28-48_PM__scan_info_for_subject_subc41__selected_run_is_3__fmri_number_is5.mat;fMRI_5.mat;runs_random.mat	March-21-2024_ 4-28-41_PM__Subject_is_subc41__sequence_of_stimuli_for_fMRI_number_5_is_2   8   5   3   7  10   4   9   1   6  11  12.mat;runs_random.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl	high
sub-040	ses-01	06	runs_random.mat	runs_random.mat	priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl;insufficient_for_events	low
sub-040	ses-01	09	runs_random.mat	runs_random.mat	priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl;insufficient_for_events	low
sub-040	ses-01	10	runs_random.mat	runs_random.mat	priority_runs_random_selected=runs_random.mat;discarded=runs_random.mat;vars=paradigm;vbl;insufficient_for_events	low
sub-040	ses-02	01	October-04-2024_ 6-05-34_PM__scan_info_for_subject_SUBC041_Session02__selected_run_is_1__fmri_number_is1.mat;fMRI_1.mat;runs_random.mat	October-04-2024_ 5-58-18_PM__Subject_is_SUBC041_Session02__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-040	ses-02	02	October-04-2024_ 6-10-27_PM__scan_info_for_subject_SUBC041_Session02__selected_run_is_4__fmri_number_is2.mat;fMRI_2.mat;runs_random.mat	October-04-2024_ 6-06-24_PM__Subject_is_SUBC041_Session02__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-040	ses-02	01	October-04-2024_ 6-05-34_PM__scan_info_for_subject_SUBC041_Session02__selected_run_is_1__fmri_number_is1.mat;fMRI_1.mat;runs_random.mat	October-04-2024_ 5-58-18_PM__Subject_is_SUBC041_Session02__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-040	ses-02	02	October-04-2024_ 6-10-27_PM__scan_info_for_subject_SUBC041_Session02__selected_run_is_4__fmri_number_is2.mat;fMRI_2.mat;runs_random.mat	October-04-2024_ 6-06-24_PM__Subject_is_SUBC041_Session02__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-040	ses-02	03	October-04-2024_ 6-15-51_PM__scan_info_for_subject_SUBC041_Session02__selected_run_is_2__fmri_number_is3.mat;fMRI_3.mat;runs_random.mat	October-04-2024_ 6-11-57_PM__Subject_is_SUBC041_Session02__sequence_of_stimuli_for_fMRI_number_3_is_3   1   7   8   9   4  12  11   6   2  10   5.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-040	ses-02	04	October-04-2024_ 6-19-50_PM__scan_info_for_subject_SUBC041_Session02__selected_run_is_5__fmri_number_is4.mat;fMRI_4.mat;runs_random.mat	October-04-2024_ 6-16-04_PM__Subject_is_SUBC041_Session02__sequence_of_stimuli_for_fMRI_number_4_is_12   3  10   6  11   7   1   2   5   8   9   4.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-040	ses-02	05	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-040	ses-02	06	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-040	ses-02	03	October-04-2024_ 6-15-51_PM__scan_info_for_subject_SUBC041_Session02__selected_run_is_2__fmri_number_is3.mat;fMRI_3.mat;runs_random.mat	October-04-2024_ 6-11-57_PM__Subject_is_SUBC041_Session02__sequence_of_stimuli_for_fMRI_number_3_is_3   1   7   8   9   4  12  11   6   2  10   5.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-040	ses-02	04	October-04-2024_ 6-19-50_PM__scan_info_for_subject_SUBC041_Session02__selected_run_is_5__fmri_number_is4.mat;fMRI_4.mat;runs_random.mat	October-04-2024_ 6-16-04_PM__Subject_is_SUBC041_Session02__sequence_of_stimuli_for_fMRI_number_4_is_12   3  10   6  11   7   1   2   5   8   9   4.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-040	ses-02	05	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-040	ses-02	06	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-040	ses-02	07	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-040	ses-02	08	runs_random.mat		unique_runs_random;insufficient_for_events	low
sub-041	ses-01	01	May-06-2024_ 9-50-04_AM__scan_info_for_subject_SUBC42__selected_run_is_1__fmri_number_is1.mat;fMRI_1.mat;runs_random.mat	May-06-2024_ 9-55-43_AM__scan_info_for_subject_SUBC42__selected_run_is_1__fmri_number_is1.mat;May-06-2024_ 9-47-59_AM__Subject_is_SUBC42__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat;May-06-2024_ 9-50-15_AM__Subject_is_SUBC42__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	priority_scan_info_selected=May-06-2024_ 9-50-04_AM__scan_info_for_subject_SUBC42__selected_run_is_1__fmri_number_is1.mat;discarded=May-06-2024_ 9-55-43_AM__scan_info_for_subject_SUBC42__selected_run_is_1__fmri_number_is1.mat;vars=triggerTimes;vbl;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
sub-041	ses-01	02	May-06-2024_10-00-17_AM__scan_info_for_subject_SUBC42__selected_run_is_4__fmri_number_is2.mat;fMRI_2.mat;runs_random.mat	May-06-2024_ 9-55-52_AM__Subject_is_SUBC42__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	unique_scan_info;unique_fMRI_N;discarded_dated_seq_secondary_to_fMRI_N;unique_runs_random	high
